"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"02A","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"02A","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"02A","46A","46A",14.8,"Psyr","Pflu","B",0,0,1
"08A","06C","08A",0,"Psyr","Psyr","W",0,0,1
"08A","4326","08A",0,"Psyr","Psyr","W",0,0,1
"08A","19A","RNI",0.5,"Psyr","Psyr","W",0,1,0
"08A","07A","07A",10.3,"Psyr","Psyr","W",0,0,1
"08A","22D","22D",10.3,"Psyr","Psyr","W",0,0,1
"08A","22B","RNI",10.3,"Psyr","Psyr","W",0,1,0
"08A","26B","RNI",10.3,"Psyr","Psyr","W",0,1,0
"08A","22C","RI",13.6,"Psyr","Psyr","W",1,0,0
"08A","39F","08A",14.1,"Psyr","Psyr","W",0,0,1
"08A","08C","RNI",13.8,"Psyr","Psyr","W",0,1,0
"08A","23A","08A",13.6,"Psyr","Psyr","W",0,0,1
"08A","24C","08A",12.6,"Psyr","Psyr","W",0,0,1
"08A","21A","RI",13.3,"Psyr","Psyr","W",1,0,0
"08A","20B","08A",13.3,"Psyr","Psyr","W",0,0,1
"08A","08B","08B",15.4,"Psyr","Psyr","W",0,0,1
"08A","36A","36A",15,"Psyr","Pflu","B",0,0,1
"08A","06B","06B",15,"Psyr","Pflu","B",0,0,1
"08A","07B","07B",15,"Psyr","Pflu","B",0,0,1
"08A","43A","43A",15,"Psyr","Pflu","B",0,0,1
"08A","29A","29A",15.1,"Psyr","Pflu","B",0,0,1
"08A","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"08A","34A","34A",14.9,"Psyr","Pflu","B",0,0,1
"08A","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"08A","36B","36B",14.4,"Psyr","Pflu","B",0,0,1
"08A","33E","33E",14.4,"Psyr","Pflu","B",0,0,1
"08A","13A","13A",14.4,"Psyr","Pflu","B",0,0,1
